Team 1,Team 2,Winner,Margin
KKR,SRH,KKR,8 wickets
RR,SRH,SRH,36 runs
RR,RCB,RR,4 wickets
KKR,SRH,KKR,8 wickets
RR,KKR,no result,-
SRH,Punjab Kings,SRH,4 wickets
RCB,CSK,RCB,27 runs
MI,LSG,LSG,18 runs
RR,Punjab Kings,Punjab Kings,5 wickets
DC,LSG,DC,19 runs
RCB,DC,RCB,47 runs
CSK,RR,CSK,5 wickets
KKR,MI,KKR,18 runs
GT,CSK,GT,35 runs
Punjab Kings,RCB,RCB,60 runs
SRH,LSG,SRH,10 wickets
DC,RR,DC,20 runs
MI,SRH,MI,7 wickets
LSG,KKR,KKR,98 runs
Punjab Kings,CSK,CSK,28 runs
RCB,GT,RCB,4 wickets
MI,KKR,KKR,24 runs
SRH,RR,SRH,1 run
CSK,Punjab Kings,Punjab Kings,7 wickets
LSG,MI,LSG,4 wickets
KKR,DC,KKR,7 wickets
CSK,SRH,CSK,78 runs
GT,RCB,RCB,9 wickets
LSG,RR,RR,7 wickets
DC,MI,DC,10 runs
KKR,Punjab Kings,Punjab Kings,8 wickets
SRH,RCB,RCB,35 runs
DC,GT,DC,4 runs
CSK,LSG,LSG,6 wickets
RR,MI,RR,9 wickets
Punjab Kings,GT,GT,3 wickets
KKR,RCB,KKR,1 run
DC,SRH,SRH,67 runs
LSG,CSK,LSG,8 wickets
Punjab Kings,MI,MI,9 runs
GT,DC,DC,6 wickets
KKR,RR,RR,2 wickets
RCB,SRH,SRH,25 runs
MI,CSK,CSK,20 runs
KKR,LSG,KKR,8 wickets
Punjab Kings,RR,RR,3 wickets
LSG,DC,DC,6 wickets
MI,RCB,MI,7 wickets
RR,GT,GT,3 wickets
Punjab Kings,SRH,SRH,2 runs
CSK,KKR,CSK,7 wickets
LSG,GT,LSG,33 runs
MI,DC,MI,29 runs
RR,RCB,RR,6 wickets
SRH,CSK,SRH,6 wickets
GT,Punjab Kings,Punjab Kings,3 wickets
DC,KKR,KKR,106 runs
RCB,LSG,LSG,28 runs
MI,RR,RR,6 wickets
DC,CSK,DC,20 runs
GT,SRH,GT,7 wickets
LSG,Punjab Kings,LSG,21 runs
RCB,KKR,KKR,7 wickets
RR,DC,RR,12 runs
SRH,MI,SRH,31 runs
CSK,GT,CSK,63 runs
RCB,Punjab Kings,RCB,4 wickets
GT,MI,GT,6 runs
RR,LSG,RR,20 runs
KKR,SRH,KKR,4 runs
Punjab Kings,DC,Punjab Kings,4 wickets
CSK,RCB,CSK,6 wickets
