Player,Span,Mat,Inns,Dismissed
MS Dhoni (CSK/RPS),2008-2025,273*,266,197
KD Karthik (DC/GL/KKR/KXIP/MI/RCB),2008-2024,257,235,174
WP Saha (CSK/GT/KKR/KXIP/SRH),2008-2024,170,149,113
RR Pant (DC/LSG),2016-2025,120,110,100
RV Uthappa (CSK/KKR/MI/PWI/RCB/RR),2008-2022,205,114,90
Q de Kock (DC/KKR/LSG/MI/RCB/SRH),2013-2025,114,98,84
PA Patel (CSK/DCH/Kochi/MI/RCB/SRH),2008-2019,139,122,81
SV Samson (DC/RR),2013-2025,175,112,78
NV Ojha (DC/RR/SRH),2009-2018,113,111,75
AC Gilchrist (DCH/KXIP),2008-2013,80,80,67
KL Rahul (DC/KXIP/LSG/PBKS/RCB/SRH),2013-2025,139,81,66
Ishan Kishan (GL/MI/SRH),2016-2025,114*,60,49
KC Sangakkara (DCH/KXIP/SRH),2008-2013,71,51,43
JM Sharma (PBKS/RCB),2022-2025,49,46,41
AB de Villiers (DC/RCB),2008-2021,184,52,36
JC Buttler (GT/MI/RR),2016-2025,115,38,27
H Klaasen (RCB/RR/SRH),2018-2025,44*,39,25
JM Bairstow (PBKS/SRH),2019-2024,50,28,24
SP Goswami (KKR/RCB/RR/SRH),2008-2020,31,28,23
KM Jadhav (CSK/DC/Kochi/RCB/SRH),2010-2023,95,33,23
MS Bisla (KKR/KXIP/RCB),2010-2015,39,30,22
M Rawat (PWI/RR),2008-2013,18,17,18
BB McCullum (CSK/GL/KKR/Kochi/RCB),2008-2018,109,18,18
N Pooran (KXIP/LSG/PBKS/SRH),2019-2025,85,31,18
PD Salt (DC/KKR/RCB),2023-2025,30,21,17
DH Yagnik (RR),2011-2014,25,24,17
MV Boucher (KKR/RCB),2008-2011,31,30,17
Rahmanullah Gurbaz (KKR),2023-2025,15,13,16
YV Takawale (MI/RCB),2008-2014,16,13,16
AT Rayudu (CSK/MI),2010-2023,204,20,15
KB Arun Karthik (CSK/RCB),2010-2013,17,16,13
RD Rickelton (MI),2025-2025,9,9,11
N Saini (KXIP),2012-2012,10,9,11
PR Shah (MI/RR),2008-2011,16,14,11
Kamran Akmal (RR),2008-2008,6,6,9
SP Jackson (KKR),2017-2022,9,7,9
SW Billings (CSK/DC/KKR),2016-2022,30,7,8
MS Wade (DC/GT),2011-2024,15,7,8
MN van Wyk (KKR),2009-2009,5,5,7
CM Gautam (DC/MI),2013-2015,13,13,7
AP Tare (DC/MI/SRH),2010-2017,35,15,7
Abishek Porel (DC),2023-2025,26,6,6
Anuj Rawat (RCB/RR),2021-2024,24,6,6
KS Bharat (DC/RCB),2021-2022,10,8,5
JP Inglis (PBKS),2025-2025,3,3,4
DJ Jacobs (MI),2011-2012,7,6,4
Prabhsimran Singh (KXIP/PBKS),2019-2025,42,10,4
L Ronchi (MI),2008-2009,5,4,3
DC Jurel (RR),2023-2025,37,5,3
SN Khan (DC/KXIP/PBKS/RCB),2015-2023,50,1,2
SS Shaikh (KKR),2009-2009,2,1,2
NS Naik (KKR/KXIP),2016-2020,4,2,2
DT Patil (RCB),2008-2008,2,2,2
AT Carey (DC),2020-2020,3,3,2
Vishnu Vinod (MI/RCB),2017-2023,6,4,2
U Kaul (KXIP),2008-2008,5,5,2
Anmolpreet Singh (MI/SRH),2021-2024,9,1,1
KH Devdhar (DCH),2011-2011,1,1,1
BR Sharath (GT),2024-2024,1,1,1
Gurkeerat Singh (KXIP/RCB),2012-2020,41,3,1
B Indrajith (KKR),2022-2022,3,3,1
AG Paunikar (RR),2010-2011,5,4,1
BJ Haddin (KKR),2011-2011,1,1,-
Litton Das (KKR),2023-2023,1,1,-
C Madan (MI),2010-2010,1,1,-
TD Paine (PWI),2011-2011,2,1,-
GD Phillips (RR/SRH),2021-2023,8,1,-
DB Das (KKR),2008-2013,31,2,-
MDKJ Perera (RR),2013-2013,2,2,-
JR Philippe (RCB),2020-2020,5,2,-
PBB Rajapaksa (PBKS),2022-2023,13,2,-
N Jagadeesan (CSK/KKR),2020-2023,13,3,-
