Player,Span,Mat,Inns,NO,Runs,HS,Ave
GJ Maxwell (DC/KXIP/MI/PBKS/RCB),2012-2025,140,134,17,2812,95,24.03
KD Karthik (DC/GL/KKR/KXIP/MI/RCB),2008-2024,257,234,50,4842,97*,26.31
RG Sharma (DCH/MI),2008-2025,265,260,30,6856,109*,29.80
SP Narine (KKR),2012-2025,184,117,20,1681,109,17.32
PP Chawla (CSK/KKR/KXIP/MI),2008-2024,192,92,36,624,24*,11.14
Rashid Khan (GT/SRH),2017-2025,129,63,24,567,79*,14.53
Mandeep Singh (DC/KKR/KXIP/PBKS/RCB),2010-2023,111,98,16,1706,77*,20.80
MK Pandey (DC/KKR/LSG/MI/PWI/RCB/SRH),2008-2025,172,160,27,3869,114*,29.09
AT Rayudu (CSK/MI),2010-2023,204,187,33,4348,100*,28.23
Harbhajan Singh (CSK/KKR/MI),2008-2021,163,90,37,833,64,15.71
PA Patel (CSK/DCH/Kochi/MI/RCB/SRH),2008-2019,139,137,11,2848,81,22.60
AM Rahane (CSK/DC/KKR/MI/RPS/RR),2008-2025,193,179,18,4913,105*,30.51
R Ashwin (CSK/DC/KXIP/RPS/RR),2009-2025,219,96,34,812,50,13.09
G Gambhir (DC/KKR),2008-2018,154,152,16,4217,93,31.00
SV Samson (DC/RR),2013-2025,175,170,20,4643,119,30.95
DA Warner (DC/SRH),2009-2024,184,184,22,6565,126,40.52
S Dhawan (DC/DCH/MI/PBKS/SRH),2008-2024,222,221,29,6769,106*,35.25
A Mishra (DC/DCH/LSG/SRH),2008-2024,162,57,25,381,31,11.90
SA Yadav (KKR/MI),2012-2025,159,144,26,3967,103*,33.61
AB de Villiers (DC/RCB),2008-2021,184,170,40,5162,133*,39.70
V Kohli (RCB),2008-2025,261,253,40,8396,113*,39.41
HV Patel (DC/PBKS/RCB/SRH),2012-2025,114*,46,17,270,36*,9.31
CH Morris (CSK/DC/RCB/RR),2013-2021,81,51,23,618,82*,22.07
P Kumar (GL/KXIP/MI/RCB/SRH),2008-2017,119,59,21,340,34,8.94
N Pooran (KXIP/LSG/PBKS/SRH),2019-2025,85,82,19,2146,87*,34.06
MP Stoinis (DC/KXIP/LSG/PBKS/RCB),2016-2025,103,94,24,1933,124*,27.61
JH Kallis (KKR/RCB),2008-2014,98,96,11,2427,89*,28.55
Ishan Kishan (GL/MI/SRH),2016-2025,114*,108,9,2803,106*,28.31
YK Pathan (KKR/RR/SRH),2008-2019,174,154,44,3204,100,29.12
RA Jadeja (CSK/GL/Kochi/RR),2008-2025,249*,193,79,3125,62*,27.41
R Sharma (DC/DCH/PWI),2010-2014,44,20,6,66,14*,4.71
RD Chahar (MI/PBKS/RPS/SRH),2017-2025,79,24,8,129,25*,8.06
SN Thakur (CSK/DC/KKR/KXIP/LSG/RPS),2015-2025,104,41,14,321,68,11.88
UT Yadav (DC/GT/KKR/RCB),2010-2024,148,52,31,208,24*,9.90
MK Tiwary (DC/KKR/KXIP/RPS),2008-2018,98,85,26,1695,75*,28.72
DR Smith (CSK/DCH/GL/MI),2008-2017,91,89,5,2385,87*,28.39
AJ Finch (DC/GL/KKR/KXIP/MI/PWI/RCB/RR/SRH),2010-2022,92,90,7,2091,88*,25.19
NV Ojha (DC/RR/SRH),2009-2018,113,94,19,1554,94*,20.72
JC Buttler (GT/MI/RR),2016-2025,115,114,15,3938,124,39.77
CH Gayle (KKR/KXIP/PBKS/RCB),2009-2021,142,141,16,4965,175*,39.72
RV Uthappa (CSK/KKR/MI/PWI/RCB/RR),2008-2022,205,197,17,4952,88,27.51
SK Raina (CSK/GL),2008-2021,205,200,30,5528,100*,32.51
SK Warne (RR),2008-2011,55,29,9,198,34*,9.90
STR Binny (MI/RCB/RR),2010-2019,95,68,22,880,48*,19.13
RD Gaikwad (CSK),2020-2025,71,70,8,2502,108*,40.35
PP Shaw (DC),2018-2024,79,79,-,1892,99,23.94
AC Gilchrist (DCH/KXIP),2008-2013,80,80,4,2069,109*,27.22
V Sehwag (DC/KXIP),2008-2015,104,104,5,2728,122,27.55
N Rana (KKR/MI/RR),2016-2025,116,110,10,2840,87,28.40
