team 1,team 2,team runs,team wickets
RCB,SRH,549,10
SRH,RR,528,12
SRH,MI,523,8
KKR,Punjab Kings,523,8
DC,MI,504,13
SRH,Punjab Kings,492,8
GT,Punjab Kings,475,10
KKR,LSG,472,10
CSK,RR,469,10
DC,SRH,465,17
Kings XI,KKR,459,14
Punjab Kings,LSG,458,15
MI,Kings XI,453,9
RR,Kings XI,449,8
KKR,RR,447,14
Kings XI,CSK,447,9
DC,GT,444,12
RCB,CSK,444,14
KKR,RCB,443,16
MI,DC,439,13
DC,KKR,438,17
RR,Punjab Kings,438,13
DC,KKR,438,12
MI,CSK,437,10
Daredevils,Kings XI,433,10
KKR,SRH,433,11
MI,RCB,431,8
RR,SRH,431,8
Chargers,RR,431,12
Punjab Kings,MI,430,7
MI,RCB,430,14
KKR,MI,430,9
DC,RR,429,10
SRH,Punjab Kings,429,11
CSK,Kings XI,428,13
SRH,MI,428,17
GT,CSK,427,11
RR,KKR,427,15
MI,RR,426,11
RCB,LSG,425,11
CSK,LSG,423,8
Punjab Kings,RCB,422,17
KKR,CSK,422,13
CSK,LSG,422,14
RCB,SRH,422,9
Daredevils,Guj Lions,422,10
DC,RR,422,16
KKR,CSK,421,12
LSG,CSK,421,11
MI,RR,420,13
Punjab Kings,CSK,420,11
DC,LSG,420,17
KKR,LSG,418,8
Kings XI,CSK,418,10
SRH,Kings XI,416,9
RR,CSK,416,13
KKR,RCB,416,9
MI,Punjab Kings,415,14
RCB,RR,415,10
CSK,RCB,413,13
Punjab Kings,RCB,413,7
KKR,SRH,412,14
RCB,CSK,412,13
CSK,RR,412,12
CSK,Kings XI,411,8
RCB,KKR,411,8
GT,KKR,411,11
Punjab Kings,DC,411,10
MI,LSG,410,12
CSK,MI,410,12
RCB,SRH,409,10
CSK,Daredevils,409,9
MI,GT,409,13
RCB,CSK,409,12
Daredevils,RCB,409,10
CSK,RCB,409,13
RCB,SRH,408,14
KKR,Kings XI,408,8
GT,DC,407,11
CSK,KKR,407,11
RCB,Kings XI,407,5
GT,RCB,406,4
Guj Lions,RCB,405,9
GT,MI,404,13
KKR,Kings XI,404,5
RCB,MI,402,8
CSK,Punjab Kings,401,10
Kings XI,RR,401,10
SRH,RR,401,10
MI,SRH,401,7
LSG,RCB,400,10
RCB,MI,400,14
RCB,RR,399,14
GT,Punjab Kings,399,11
MI,RCB,399,10
SRH,RR,399,7
Kings XI,KKR,399,11
DC,MI,398,15
GT,LSG,398,9
Kings XI,MI,397,6
