Team,Score,Overs,RR
SRH,287/3,20.0,14.35
SRH,277/3,20.0,13.85
KKR,272/7,20.0,13.60
SRH,266/7,20.0,13.30
RCB,263/5,20.0,13.15
Punjab Kings,262/2,18.4,14.03
RCB,262/7,20.0,13.10
KKR,261/6,20.0,13.05
DC,257/4,20.0,12.85
LSG,257/5,20.0,12.85
RCB,248/3,20.0,12.40
MI,247/9,20.0,12.35
CSK,246/5,20.0,12.30
MI,246/5,20.0,12.30
KKR,245/6,20.0,12.25
RCB,241/7,20.0,12.05
CSK,240/5,20.0,12.00
CSK,235/4,20.0,11.75
RCB,235/1,20.0,11.75
MI,235/9,20.0,11.75
KKR,235/6,20.0,11.75
MI,234/5,20.0,11.70
GT,233/3,20.0,11.65
KKR,232/2,20.0,11.60
Kings XI,232/2,20.0,11.60
Daredevils,231/4,20.0,11.55
Kings XI,231/4,20.0,11.55
GT,231/3,20.0,11.55
SRH,231/2,20.0,11.55
Kings XI,230/3,20.0,11.50
SRH,228/4,20.0,11.40
DC,228/4,20.0,11.40
RCB,227/4,20.0,11.35
GT,227/2,20.0,11.35
RR,226/6,19.3,11.58
RCB,226/3,20.0,11.30
CSK,226/6,20.0,11.30
Kings XI,226/6,20.0,11.30
RR,224/8,20.0,11.20
DC,224/4,20.0,11.20
RR,223/5,20.0,11.15
KKR,223/6,20.0,11.15
CSK,223/3,20.0,11.15
MI,223/6,20.0,11.15
Kings XI,223/2,20.0,11.15
CSK,223/3,20.0,11.15
CSK,222/5,20.0,11.10
KKR,222/6,20.0,11.10
KKR,222/3,20.0,11.10
RR,222/2,20.0,11.10
RCB,221,20.0,11.05
DC,221/8,20.0,11.05
Punjab Kings,221/6,20.0,11.05
Kings XI,221/3,20.0,11.05
RR,220/3,20.0,11.00
GT,220/8,20.0,11.00
CSK,220/3,20.0,11.00
Daredevils,219/4,20.0,10.95
MI,219/6,20.0,10.95
SRH,219/2,20.0,10.95
KKR,218/4,20.0,10.90
MI,218/7,20.0,10.90
CSK,218/4,20.0,10.90
RCB,218/6,20.0,10.90
RCB,218/8,20.0,10.90
RCB,218/5,20.0,10.90
MI,218/5,20.0,10.90
RR,217/7,19.5,10.94
CSK,217/7,20.0,10.85
RR,217/5,20.0,10.85
SRH,217/6,20.0,10.85
RR,217/4,20.0,10.85
RR,217/7,20.0,10.85
MI,216/4,18.5,11.46
RR,216/7,20.0,10.80
CSK,216/4,20.0,10.80
SRH,215/6,19.1,11.21
RCB,215/1,20.0,10.75
DC,215/5,20.0,10.75
Daredevils,214/3,17.3,12.22
MI,214/4,19.3,10.97
RR,214/2,20.0,10.70
Punjab Kings,214/8,20.0,10.70
LSG,214/6,20.0,10.70
GT,214/4,20.0,10.70
Punjab Kings,214/3,20.0,10.70
Kings XI,214/8,20.0,10.70
Chargers,214/5,20.0,10.70
Punjab Kings,214/5,20.0,10.70
LSG,213/4,19.3,10.92
RCB,213/4,20.0,10.65
LSG,213/9,20.0,10.65
MI,213/6,20.0,10.65
DC,213/6,20.0,10.65
DC,213/2,20.0,10.65
RCB,213/2,20.0,10.65
CSK,212/3,20.0,10.60
MI,212/3,20.0,10.60
MI,212/6,20.0,10.60
RCB,212/2,20.0,10.60
